id,message,label
153,"hi, I need to remove a former employee's access — urgent",account_access
154,"hi, why is my invoice $9.99 higher than last time ...",billing
155,let me schedule exports every week,feature_request
156,someone else logged into my account from Austin,account_access
157,quick question: the app crashes when I open search please help,bug
158,please send the VAT invoice for August — urgent,billing
159,export to PDF cuts off the last page,bug
160,my account is locked after too many attempts,account_access
161,"hello team, I need to remove a former employee's access ...",bug
162,quick question: please support Mac widgets please help,feature_request
163,"hello team, can I get a rfund for the Team plan!!",billing
164,quick questio: my account is locked after too many attempts,account_access
165,how do I change the owner of our workspace,account_access
166,quick question: please support Android widgets!!,feature_request
167,"hi, the upgrade charge of $9.99 looks wrong",billing
168,quick question: the magic link says it expired — urgent,account_access
169,the upgrade charge of $9.99 looks wrong please help,billing
170,quick question: sync stopped working on my Mac asap,bug
171,it would be great to share search with my team thanks,feature_request
172,"hey, let me schedule exports every week (again)",feature_request
173,"hello team, I can't log in after resetting my password",account_access
174,"hey, someone else logged into my account from Lisbon asap",account_access
175,"hello team, I can't log in after resetting my password!!",account_access
176,the 2FA code never arriveson my iPad — urgent,account_access
177,quick question: sync stopped working on my Android asap,bug
178,quick question: add a way to tag notes by colour — urgent,feature_request
179,please support Windows widgets ...,feature_request
180,"hey, I lost access to the email on my account ...",account_access
181,"hi, add a way to tag notes by colour",feature_request
182,quick question: search shows a blank screen since the update — urgent,bug
183,sync stopped working on my Windows!!,feature_request
184,"hi, let me schedule exports every week please help",feature_request
185,"hello team, I need to remove a former employee's access!!",account_access
186,"hey, the upgrade chare of $9.99 looks wrong",billing
187,"hi, search shows a blank screen since the update",bug
188,"hello team, I'd love keyboard shortcuts in the calendar please help",feature_request
189,sync stopped working on my Android thanks,bug
190,can I get a refund for the Team plan ...,billing
191,quick question: let me schedule exports every week,feature_request
192,cancel my subscription and stop charging me thanks,billing
193,"hi, can I get a refund for the Basic plan please help",billing
194,"hello team, add a way to tag notes y colour please help",feature_request
195,I'd love keyboard shortcuts in the calendar,feature_request
196,can you add an API for notes,feature_request
197,"hi, search shows a blank screen since the update ...",bug
198,"hi, my card was declined but you still billed me asap",billing
199,add a way to tag notes by colour (again),feature_request
200,how do I change the card you bill ...,billing
201,"hi, it would be great to share notes with my team!!",feature_request
202,"hey, the 2FA code never arrives on my Windows",account_access
203,quick question: any plans for offline mode on Windows,account_access
204,"hi, I need to remove a former employee's access please help",account_access
205,cancel my subscription and stop charging me,billing
206,quick question: please support iPhone widgets,feature_request
207,I need to remove a former employee's access (again),account_access
208,"hello team, export to PDF cuts off the last page please help",bug
209,the upgrade charge of $12 looks wrong,billing
210,"hi, the search returns nothing even for exact titles",bug
211,I was charged $12 twice this month please help,billing
212,I can't log in after resetting my password ...,billing
213,quick question: I lost access to the email on my account ...,account_access
214,"hi, can you add an API for the editor!!",feature_request
215,quick question: how do I change the card you bill,billing
216,"hi, I get error E502 when saving ...",bug
217,the 2FA code never arrives on my Android thanks,account_access
218,why is my invoice $45 higher than last time (again),billing
219,quick question: notifications arrive twice on iPhone please help,bug
220,"hello team, search shows a blank screen since the update asap",bug
221,reports is really slow and then freezes,bug
222,"hey, someone else logged into my account from Warsaw — urgent",bug
223,"hi, please support Windows widgets (again)",feature_request
224,the 2FA code never arrives on my Mac thanks,account_access
225,someone else logged into my account from Warsaw!!,account_access
226,could you add dark mode to the editor — urgent,feature_request
227,"hi, sync stopped working on my iPhone!!",bug
228,notifications arrive twice on Android!!,bug
229,quick question: the 2FA code never arrives on my Mac thanks,account_access
230,quick question: please send the VAT invoice for September,billing
231,"hi, how do I change the owner of our workspace asap",account_access
232,my card was declined but you still billed me,feature_request
233,the search returns nothing even for exact titles,bug
234,quick question: someone else logged into my account from Lisbon!!,account_access
235,"hello team, the 2FA code never arrives on my Android — urgent",account_access
236,quick question: please send the VAT invoice for August ...,billing
237,my card was declined but you still billed me,billing
238,quick question: I'd love keyboard shortcuts in reports thanks,bug
239,my card was declined but you still billed me!!,billing
240,"hey, please support iPad widgets!!",feature_request
241,notifications arrive twice on iPhone please help,bug
242,"hi, why is my invoice €30 higher than last time thanks",billing
243,quick question: how do I change the card you bill thanks,billing
244,"hey, why is my invoice €30 higher than last time",billing
245,quick question: why is my invoice $120 higher than last time,billing
246,"hello team, please support Windows widgets — urgent",feature_request
247,quick question: search is really slow and then freezes thanks,bug
248,the magic link says it expired — urgent,account_access
249,"hello team, the editor is really slowand then freezes asap",bug
250,"ello team, any plans for offline mode on Mac thanks",feature_request
251,quick question: notifications arrive twice on iPad thanks,bug
252,"hello team, could you add dark mode to notes",feature_request
253,I lost access to the email on my account (again),account_access
254,"hey, my account is locked after too many attempts",account_access
255,could you add dark mode to search!!,feature_request
256,"hi, can you add an API for the calendar",feature_request
257,the upgrade charge of $12 looks wrong thanks,billing
258,"hey, how do  change the card you bill!!",billing
259,notifications arrive twice on Android please help,bug
260,"hi, it would be great to share the editor with my team thans",feature_request
261,"hey, could you add dark mode to the calendar please help",feature_request
262,"hi, how do I change the owner of our workspace",account_access
263,"hi, could you add dark mode to the editor thanks",feature_request
264,"hello team, can you add an API for the editor ...",feature_request
265,"hello team, how do I change the owner of our workspace (again)",account_access
266,the calendar shows a blank screen since the update,bug
267,the search returns nothing even for exact titles,bug
268,someone else logged into my account from Austin,account_access
269,"hello team, my account is locked after too many attempts (again)",account_access
270,"hi, could you add dark mode to the calendar (again)",feature_request
271,I'd love keyboard shortcuts in notes ...,account_access
272,I was charged $12 twice this month!!,bug
273,quick question: any plans for offline mode on Android asap,feature_request
274,"hi, can you add an API for the calendar please help",feature_request
275,cancel my subscription and stop charging me!!,billing
276,quick question: I can't log in after resetting my password!!,account_access
277,"hello team, my account is locked after too many attempts — urgent",account_access
278,quick question: I get error 429 when saving thanks,bug
279,could you add dark mode to the editor!!,feature_request
280,notifications arrive twice on Windows please help,bug
281,"hello team, how do I change the owner of our workspace ...",account_access
282,quick question: sync stopped working on my Mac asap,bug
283,I can't log in after resetting my password,account_access
284,quick question: how do I change the card you bill,billing
285,quick question: I get error 429 when saving asap,bug
286,"hey, how do I change the owner of our workspace ...",account_access
287,"hello team, reports shows a blank screen since the update",bug
288,"hey, I'd love keyboard shortcuts in the editor — urgent",feature_request
289,"hey, I can't log in after resetting my password",account_access
290,"hello team, how do I change the owner of our workspace",account_access
291,"hello team, how do I change the card you bill please help",billing
292,"hello team, I can't log in after resetting my password thanks",account_access
293,let me schedule exports every week (again),feature_request
294,quick question: how do I change the owner of our workspace — urgent,account_access
295,quick question: how do I change the owner of our workspace (again),account_access
296,can I get a refund for the Team plan,billing
297,"hey, let me schedule exorts every week ...",feature_request
298,I need to remove a former employee's access please help,account_access
299,please support Android widgets,feature_request
300,reports is really slow and then freezes thanks,bug
301,"hi, can you add a API for reports",feature_request
302,"hey, can I get a refund for the Pro plan (again)",billing
303,it would be great to share notes with my team,feature_request
304,"hello team, notifications arrive twice on Android — urgent",bug
305,my card was declined but you still billed me (again),billing
306,the app crashes when I open search ...,bug
307,quick question: how do I change the card you bill (again),billing
308,"hello team, the search returns nothing even for exact titles please help",bug
309,"hello team, I was charged $12 twice this month",billing
310,quick question: sync stopped working on my Android,bug
311,quick question: I can't log in fter resetting my password (again),account_access
312,quick question: sync stopped working on my Windows,bug
313,the magic link says it expired — urgent,account_access
314,"hey, the upgrade charge of €30 looks wrong!!",billing
315,quick question: my card was declined but you still billed me ...,bug
316,"hey, I get error 429 when saving (again)",bug
317,"hey, cancel my subscriptin and stop charging me thanks",billing
318,quick question: export to PDF cuts off the last page,bug
319,"hello team, my account is locked after too many attempts (again)",account_access
320,any plans for offline mode on iPhone asap,feature_request
321,quick question: the search returns nothing even for exact titles,bug
322,how do I change the card you bill (again),billing
323,quick question: could you add dark mode to the calendar!!,feature_request
324,"hello team, why is my invoice €30 higher than last time thanks",billing
325,"hello team, my account is locked after too many attempts thanks",account_access
326,"hi, the 2FA code never arrives on my iPad asap",account_access
327,the calendar shows a blank screen since the update,bug
328,"hey, my account is locked after too many attempts asap",account_access
329,why is my invoice $45 higher than last time (again),billing
330,"hey, the calendar is really slow and then freezes ...",bug
331,the calendar shows a blank screen since the update please help,bug
332,quick question: notifications arrive twice on Mac,bug
333,the app crashes when I open the editor,bug
334,"hey, please send the VAT invoice for September (again)",billing
335,quick question: it would be great to share the calendar with my team,feature_request
336,"hello team, notifications arrive twice on Android ...",bug
337,"hi, add a way to tag notes by colour!!",feature_request
338,why is my invoice $9.99 higher than last time (again),billing
339,cancel my subscription and stop charging me!!,billing
340,let me schedule exports every week thanks,feature_request
341,I need to remove a former employee's access,account_access
342,how do I change the card you bill (again),billing
343,quick question: I get error E13 when saving ...,bug
344,how do I change the card you bill thanks,billing
345,quick question: export to PDF cuts off the last page asap,bug
346,"hi, how do I change the card you bill ...",billing
347,"hello team, I can't log in after resetting my password (again)",account_access
348,"hey, it would be great to share the calendar with my team thanks",feature_request
349,"hey, I was charged $9.99 twice this month ...",billing
350,let me schedule exports every week asap,feature_request
351,"hello team, can you add an API for notes!!",feature_request
352,"hello team, it would be great to share the editor with my team (again)",feature_request
353,I was charged $9.99 twice this month asap,billing
354,"hi, why is my invoice $45 higher than last time asap",billing
355,quick question: could you add dark mode to notes,feature_request
356,"hello team, the calendar shows a blank screen since the update asap",bug
357,could you add dark mode to reports asap,feature_request
358,"hello team, Iwas charged $120 twice this month ...",billing
359,"hello team, I get error E-SYNC-7 when saving please help",bug
360,quick question: the 2FA code never arrives on my iPad!!,account_access
361,"hello team, the app crashes when I open the calendar thanks",bug
362,someone else logged into my account from Lisbon!!,account_access
363,"hi, the search returns nothing even for exact titles thanks",bug
364,the 2FA code never arrives on my Mac (again),account_access
365,"hey, the upgrade charge of $9.99 looks wrong (again)",billing
366,I was charged $9.99 twice this month ...,billing
367,"hey, please support iPad widgets!!",feature_request
368,"hello team, how do I change the card you bill",billing
369,"hi, add a way to tag notes by colour!!",feature_request
370,"hi, the upgrade charge of €30 looks wrong asap",billing
371,quick question: I can't log in after resetting my password,account_access
372,"hey, sync stopped working on my iPad",bug
373,"hi, let me schedule exports every week",feature_request
374,"hey, could you add dark mode to search — urgent",feature_request
375,"hi, let me schedule exports every week",feature_request
376,quick question: I get error 429 when saving asap,bug
377,te magic link says it expired ...,feature_request
378,"hey, I get error E502 when saving asap",bug
379,I need to remove a former employee's access,bug
380,"hi, notifications arrive twice on iPhone (again)",bug
381,can you add an API for search ...,feature_request
382,quick question: notes is really slow and then freezes asap,bug
383,"hi, the magic link says it expired please help",account_access
384,quick question: any plans for offline mode on iPhone asap,feature_request
385,"hello team, can I get a refund for the Pro plan (again)",billing
386,"hello team, I lost access to the email on my account",account_access
387,"hi, can you add an API for search asa",billing
388,"hi, I was charged $12 twice this month ...",billing
389,"hi, export to PDF cuts off the last page",bug
390,quick question:sync stopped working on my Android,bug
391,add a way to tag notes by colour (again),feature_request
392,cancel my subscription and stop charging me asap,billing
393,quick question: I get error E502 when saving (again),bug
394,it ould be great to share the editor with my team!!,feature_request
395,"hello team, the 2FA code never arrives on my iPhone (again)",account_access
396,"hello team, any plans for offline mode on iPhone asap",feature_request
397,"hi, the app crashes when I open the calendar asap",bug
398,"hello tam, can I get a refund for the Team plan (again)",billing
399,how do I change the card you bill ...,account_access
400,the calendar is really slow and then freezes,bug
401,quick question: add a way to tag notes by colour — urgent,feature_request
402,why is my invoice $45 higher than last time please help,billing
403,"hello team, the magic link says it expired please help",account_access
404,"hi, could you add dark mode to the editor please help",feature_request
405,"hi, the search returns nothing even for exact titles!!",bug
406,how do I change the owner of our workspace — urgent,account_access
407,quick question: the 2FA code never arrives on my Windows,account_access
408,notifications arrive twice on Mac please help,bug
409,search shows a blank screen since the update — urgent,bug
410,why is my invoice $45 higher than last time ...,billing
411,"hello team, any plans for offline mode on Windows",feature_request
412,"hi, please send the VAT invoice for September",billing
413,"hello team, the upgrade charge of €30 looks wrong!!",billing
414,quick question: notifications arrive twice on iPhone (again),bug
415,"hello team, it would be great to share search with my team!!",feature_request
416,any plans for offline mode on Android please help,feature_request
417,quick question: I get error 429 when saving asap,bug
418,someone else logged into my account from Lisbon — urgent,account_access
419,sync stopped working on my iPhone — urgent,bug
420,"hi, could you add dark mode to the editor please help",feature_request
421,"hi, can I get a refund for the Basic plan thanks",billing
422,"hey, the upgrade charge of $120 looks wrong please help",billing
423,"hello team, the upgrade charge of $45 looks wrong!!",billing
424,"hello team, please support iPhone widgets",feature_request
425,"hello team, I was charged $9.99 twice this month ...",billing
426,quick question: can I get a refund for the Team plan asap,billing
427,I get error 429 when saving asap,bug
428,the calendar shows a blank screen since the update,bug
429,reports shows a blank screen since the update asap,bug
430,"hi, the upgrade charge of $45 looks wrong (again)",billing
431,the search returns nothing even for exact titles!!,bug
432,"hello team, the upgrade charge of $9.99 looks wrong ...",billing
433,"hello team, I lost access to the email on my account (again)",account_access
434,"hi, any plans for offline mode on Windows (again)",feature_request
435,I lost access to the email on my account,billing
436,"hello team, let me schedule eports every week",feature_request
437,"hi, I was charged $45 twice this month",billing
438,I was charged $9.99 twice this month (again),billing
439,"hello team, any plans for offline mode on iPhone",feature_request
440,I was charged $9.99 twice this month ...,billing
441,"hello team, the editor shows a blank screen since the update",bug
442,I can't log in after resetting my password thanks,account_access
443,"hey, the magic link says it expired!!",account_access
444,"hello team, notifications arrive twice on iPad!!",bug
445,"hi, any plans for offline mode on iPhone (again)",feature_request
446,quick question: notifications arrive twice on Mac please help,bug
447,"hey, any plans for offline mode on iPhone",feature_request
448,"hey, the upgrade charge of $12 looks wrong ...",billing
449,quick question: the app crashes when I open notes asap,bug
450,"hey, the 2FA code never arrives on my Android!!",account_access
451,"hi, it would be geat to share the calendar with my team!!",feature_request
452,add a way to tag notes by colour — urgent,feature_request
453,quick question: can you add an API for reports thanks,feature_request
454,"hey, my card was declined but youstill billed me ...",bug
455,the search returns nothing even for exact titles,bug
456,quick question: the search returns nothing even for exact titles,bug
457,can I get a refund for the Team plan!!,billing
458,the magic lik says it expired!!,account_access
459,"hello team, I lost access to the email on my account (again)",account_access
460,any plans for offline mode on iPhone — urgent,feature_request
461,quick question: the magic link says it expired,account_access
462,"hey, someone else logged into my account from Austin",account_access
463,"hello team, can I get a refund for the Team plan",billing
464,"hello team, the app crashes when I open reports!!",bug
465,"hey, add a way to tag notes by colour ...",feature_request
466,quick question: why is my invoice $45 higher than last time thanks,billing
467,notifications arrive twice on Windows — urgent,bug
468,"hello team, export to PDF cuts off the last page — urgent",bug
469,"hello team, how do I change the owner of our workspace",account_access
470,"hello team, I can't log in after resetting my password",account_access
471,please send the VAT invoice for July — urgent,billing
472,"hey, please support iPad widgets — urgent",feature_request
473,"hello team, can I get a refund for the Pro plan",billing
474,"hello team, I need to remove a former employee's access ...",account_access
475,"hey, add a way to tag notes by colour please help",feature_request
476,"hi, please support Android widgets",feature_request
477,"hello team, reports shows a blank screen since the update",bug
478,the app crashes when I open search,bug
479,cancel my subscription and stop charging me,billing
480,can I get a refund for the Pro plan (again),billing
481,the upgrade charge of €30 looks wrong thanks,billing
482,"hi, it would be great to share search with my team",feature_request
483,quick question: export to PDF cuts off the last page ...,bug
484,quick question: can I get a refund for the Team plan ...,billing
485,"hey, I'd love keyboard shortcuts in the editor (again)",feature_request
486,I get error E-SYNC-7 when saving!!,bug
487,"hello team, I can't log in after resetting my password (again)",account_access
488,I need to remove a former employee's access (again),account_access
489,quick question: can I get a refund for the Team plan,billing
490,"hello team, I lost access to the email on my account please help",account_access
491,how do I change the card you bil!!,billing
492,"hello team, the editor shows a blank screen since the update thanks",bug
493,quick question: sync stopped working on my iPad,bug
494,I need to remove a former employee's access asap,account_access
495,quick question: notifications arrive twice on iPad,bug
496,it would be great to share search with my team asap,billing
497,"hi, please support iPad widgets",feature_request
498,quick question: notifications arrive twice on iPad,bug
499,"hello team, my card was declined but you still billed me!!",billing
500,"hello team, my account is locked after too many attempts please help",account_access
501,quick question: the search returns nothing even for exact titles,bug
502,why is my invoice €30 higher than last time (again),billing
503,why is my invoice $9.99 higher than last time — urgent,billing
504,"hello team, let me schedule exports every week please help",feature_request
505,cancel my subscription and stop charging me thanks,billing
506,quick question: my account is locked after too many attempts ...,billing
507,quick question: the search returns nothing even for exact titles please help,bug
508,quick question: please support iPhone widgets asap,feature_request
509,"hello team, the 2FA code never arrives on my Windows",account_access
510,"hi, letme schedule exports every week asap",feature_request
511,quick question: please support Mac widgets,feature_request
512,"hello team, how do I change the card you bill!!",billing
513,I'd love keyboard shortcuts in the calendar,feature_request
514,"hello team, I need to remove a former employee's access",account_access
515,"hi, the magic link says it expired!!",account_access
516,"hi, can you add an API for reports thanks",feature_request
517,"hey, the magic link says it expired",account_access
518,"hey, sync stopped working on my Mac — urgent",bug
519,quick question: can I get a refund for the Pro plan thanks,billing
520,the 2FA code never arrives on my iPhone,account_access
521,"hey, someone else logged into my account from Waraw asap",account_access
522,I lost access to the email on my account ...,account_access
523,"hi, the upgrade charge of €30 looks wrong",billing
524,how do I change the owner of our workspace,account_access
525,the 2FA code never arrives on my iPad,account_access
526,"hey, the upgrade charge of $120 looks wrong — urgent",bug
527,I'd love keyboard shortcuts in the editor,feature_request
528,"hello team, why is my invoice $9.99 higher than last time",billing
529,the calendar shows a blank screen since the update,bug
530,"hello team, hw do I change the card you bill — urgent",billing
531,"hey, search shows a blank screen since the update — urgent",bug
532,the magic link says it expired,account_access
533,"hey, why is my invoice $12 higher than last time!!",billing
534,"hi, notifications arrive twice on Windows please help",billing
535,"hey, someone else logged into my account from Austin!!",account_access
536,"hello team, can you add an API for reports (again)",feature_request
537,search shows a blank screen since the update!!,bug
538,"hi, cancel my subscription and stop charging me ...",billing
539,quick question: export to PDF cuts off the last page ...,bug
540,"hi, why is my invoice €30 higher than last time",billing
541,"hey, my card was declined but you still billed me — urgent",billing
542,"hi, my card was declined but you still billed me!!",billing
543,"hello team, notes shows a blank screen since the update thanks",bug
544,"hey, export to PDF cuts off the last page ...",bug
545,"hi, cancel my subscription and stop charging me please help",billing
546,"hey, notifications arrive twice on Windows please help",bug
547,notifications arrive twice on Windows (again),bug
548,can I get a refund for the Basic plan asap,billing
549,add a way to tag notes by colour,feature_request
550,how do I change the card you bill,billing
551,I need to reove a former employee's access!!,billing
552,"hi, can I get a refund for the Pro plan!!",bug
553,"hello team, I'd love keyboard shortcuts in the editor please help",feature_request
554,"hello team, it would be great to share notes with my team please help",feature_request
555,"hi, how do I change the owner of our workspace ...",account_access
556,quick question: I get error E502 when saving,billing
557,"hey, the upgrade charge of $45 looks wrong asap",billing
558,"hello team, I'd love keyboard shortcuts in the calendar (again)",feature_request
559,"hello team, please support iPad widgets ...",feature_request
560,notifications arrive twice on Mac ...,bug
561,"hi, export to PDF cuts off the lastpage!!",bug
562,"hi, I'd love keyboard shortcuts in reports",feature_request
563,"hey, let me schedule exports every week please help",feature_request
564,quick question: please send the VAT invoice for September,billing
565,how do I change the owner of our workspaceasap,account_access
566,"hello team, I can't log in after resetting my password!!",account_access
567,"hello team, the app crashes when I open search",bug
568,notifications arrive wice on Android,bug
569,"hello team, how do I change the card you bill — urgent",billing
570,please send the VAT invoice for September thanks,billing
571,the upgrade charge of $120 looks wrong asap,billing
572,search shows a blank screen since the update (again),bug
573,"hey, I'd love keyboard shortcuts in search ...",feature_request
574,let me schedule exports every week — urgent,feature_request
575,"hello team, sync stopped working on my iPhone — urgent",bug
576,quick question: please send the VAT invoice for September,billing
577,"hey, the editor shows a blank screen since the update!!",bug
578,cancel my subscription and stop charging me ...,billing
579,I was charged $9.99 twice this month ...,billing
580,can you add an API for the editor asap,feature_request
581,how do I change the owner of our workspace again),account_access
582,my account is locked after too many attempts please help,account_access
583,quick question: reports shows a blank screen since the update,bug
584,"hello team, the search returns nothing even fr exact titles — urgent",bug
585,reports shows a blank screen since the update,bug
586,"hello team, it would be great to share notes with my team thanks",feature_request
587,"hey, export to PDF cuts off the last page!!",bug
588,"hi, export to PDF cuts off the last page!!",bug
589,"hello team, I lost access to the email on my account",account_access
590,how do I change the card you bill,billing
591,"hello team, can I get a refund for the Pro plan ...",billing
592,"hello team, how do I change the owner of our workspace (again)",bug
593,"hey, the app crashes when I open the editor",bug
594,"hello team, notifications arrive twice on iPad!!",bug
595,"hello team, add a way to tag notes by colour thanks",feature_request
596,why is my invoice $120 higher than last time,billing
597,the mgic link says it expired — urgent,billing
598,"hi, could you add dark mode to search (again)",feature_request
599,the search returns nothing even for exact titles,bug
600,I was charged $45 twice this month — urgent,billing
601,someone else logged into my account from Warsaw asap,account_access
602,"hey, I lost access to the email on my account — urgent",billing
603,"hey, someone else logged into my account from Warsaw asap",account_access
604,could you add dark mode to reports ...,feature_request
605,add a way to tag notes by colour (again),feature_request
606,"hello team, please support iPad widgets!!",feature_request
607,export to PDF cuts off the last page thanks,bug
608,"hi, I can't log in after resetting my password",account_access
609,the magic link says it expired,account_access
610,I'd love keyboard shortcuts in search,feature_request
